Asset ID,Identifier,Asset Type,Title,ISRCs,UPC,Custom ID,Labels,Time Created,Number of Claims,Approx Daily Views
A942994001977263,BPXTH7910436,Sound Recording,crystalkovach_11266 - crystalkovach,BPXTH7910436,BeatPick,,,Fri Dec 12 10:41:38 PST 2014,0,0
A454565334383919,,Sound Recording,A Rebours (instrumental) - In The Nursery,,,,,Tue Dec 16 07:32:25 PST 2014,8,1
A770118298258686,BPXTH7908716,Sound Recording,PointeClaire_9033 - PointeClaire,BPXTH7908716,BeatPick,,,Fri Dec 12 10:26:28 PST 2014,0,0
A777430663311045,BPXTH7909669,Sound Recording,anewascension_5618 - anewascension,BPXTH7909669,BeatPick,,,Fri Dec 12 10:47:02 PST 2014,14,6
A622589097840831,BPXTH7909668,Sound Recording,anewascension_5617 - anewascension,BPXTH7909668,BeatPick,,,Fri Dec 12 10:18:51 PST 2014,14,3
A159509454280885,GBKPL1357882,Sound Recording,Nocturna - Michael Neil,GBKPL1357882,5055489276229,,,Thu Jan 08 22:37:02 PST 2015,7,3
A949883358154977,MRXTH7917068,Sound Recording,Pravda 546811 January Fool - Pravda,MRXTH7917068,Audio Masters,,,Fri Dec 19 23:38:29 PST 2014,5,2
A242478489551301,BPXTH7909585,Sound Recording,amcc_15566 - amcc,BPXTH7909585,BeatPick,,,Fri Dec 12 10:27:54 PST 2014,19,70
A802872395072711,,Sound Recording,Mallarme (instrumental) - In The Nursery,,,,,Tue Dec 16 07:48:09 PST 2014,40,100
A129923576787621,,Sound Recording,Pland The Seed - Outhouse,,,,,Mon Dec 15 07:01:44 PST 2014,1,0
A161533280788493,,Sound Recording,Broken Melody Minimal Mix - Louis,,,,,Mon Jan 12 08:32:38 PST 2015,0,0
A207005013459809,,Sound Recording,Frozen Time Minimal Mix - Louis,,,,,Mon Jan 12 08:31:07 PST 2015,0,0
A137196681835412,GBKPL1357885,Sound Recording,Coming Home - Michael Neil,GBKPL1357885,5055489276229,,,Thu Jan 08 22:37:33 PST 2015,5,5
A749816280116786,,Sound Recording,Pop Shuff Print3c - Orange Factory Music,,,,,Tue Dec 16 07:56:52 PST 2014,21,90
A540830681622145,BPXTH7907528,Sound Recording,Audyssey_14393 - Audyssey,BPXTH7907528,BeatPick,,,Fri Dec 12 10:13:06 PST 2014,4,1
A140055391576021,BPXTH7914080,Sound Recording,stevebooke_13260 - stevebooke,BPXTH7914080,BeatPick,,,Fri Dec 12 10:13:59 PST 2014,113,100
A119961191154790,US3220636036,Sound Recording,Limelight - Jerry Cortez,US3220636036,825188043065,,,Mon Dec 15 09:25:57 PST 2014,1,2
A129678252620802,BPXTH7910133,Sound Recording,brianmackey_13160 - brianmackey,BPXTH7910133,BeatPick,,,Fri Dec 12 13:34:01 PST 2014,24,0
A773665353830702,QM6MZ1491572,Sound Recording,Hide a Lie - Carrie Akre,QM6MZ1491572,688610002265,,,Fri Jan 09 19:39:09 PST 2015,4,0
A343536338510913,MRXTH7917066,Sound Recording,Pravda 546809 No Good Without You - Pravda,MRXTH7917066,Audio Masters,,,Fri Dec 19 23:30:15 PST 2014,1,1
A538527974410456,US3220222004,Sound Recording,Tesa's Waltz - Tommy White,US3220222004,825188012023,,,Mon Dec 15 09:38:32 PST 2014,5,1
A475317213122571,BPXTH7909601,Sound Recording,amcc_17407 - amcc,BPXTH7909601,BeatPick,,,Fri Dec 12 09:43:18 PST 2014,9,3
A759163456768007,USTC70870567,Sound Recording,the Warmth of the Storm - David Ross Benson,USTC70870567,859701251781,,,Wed Dec 03 06:22:31 PST 2014,0,0
A870881645259768,,Sound Recording,Hot Female Up 1 - Orange Factory Music,,,,,Tue Dec 16 07:49:46 PST 2014,7,1
A823620503423706,GBKPL1357884,Sound Recording,November - Michael Neil,GBKPL1357884,5055489276229,,,Thu Jan 08 22:25:57 PST 2015,2,7
A545927260546784,,Sound Recording,Motive (instrumental) - In The Nursery,,,,,Tue Dec 16 07:47:33 PST 2014,11,4
A632558482947195,,Sound Recording,Claude 9_Mix - Orange Factory Music,,,,,Tue Dec 16 07:52:05 PST 2014,4,2
A766504164361864,BPXTH7914089,Sound Recording,stevebooke_6745 - stevebooke,BPXTH7914089,BeatPick,,,Fri Dec 12 13:47:51 PST 2014,59,50
A455264080989720,,Sound Recording,Ah Ah Ahn (Grandpa's Blues) - Chris Hanlin,,,,,Mon Dec 15 07:19:19 PST 2014,20,1
A331479152311144,BPXTH7912876,Sound Recording,negativesound_8777 - negativesound,BPXTH7912876,BeatPick,,,Fri Dec 12 09:13:52 PST 2014,6,1
A120059260336969,BPXTH7909578,Sound Recording,amcc_15559 - amcc,BPXTH7909578,BeatPick,,,Fri Dec 12 10:39:38 PST 2014,11,1
A332563875162634,USTC70870542,Sound Recording,Somewhere Near the Water - David Ross Benson,USTC70870542,859701251781,,,Wed Dec 03 06:16:50 PST 2014,1,0
A754016328560223,BPXTH7909574,Sound Recording,amcc_15555 - amcc,BPXTH7909574,BeatPick,,,Fri Dec 12 10:27:40 PST 2014,11,5
A964624942533445,MRXTH7916971,Sound Recording,Pravda 530097 Coumbia Beat - Pravda,MRXTH7916971,Audio Masters,,,Fri Dec 19 23:31:03 PST 2014,1,0
A306413725665551,,Sound Recording,In The Midst of Thine Enemy (Instrumental) - Redsky,,,,,Mon Jan 12 07:17:00 PST 2015,0,0
A278035078725431,BPXTH7907531,Sound Recording,Audyssey_14396 - Audyssey,BPXTH7907531,BeatPick,,,Fri Dec 12 11:57:19 PST 2014,10,1
A350792797839630,BPXTH7909588,Sound Recording,amcc_15569 - amcc,BPXTH7909588,BeatPick,,,Fri Dec 12 10:18:17 PST 2014,4,20
A622317823110088,,Sound Recording,Never Change Minimal Mix - Louis,,,,,Mon Jan 12 08:29:54 PST 2015,0,0
A121852185104572,,Sound Recording,If Ever You're Lonely - Trenz Music,,,,,Mon Dec 15 07:17:22 PST 2014,0,0
A308364458533170,GBKPL1256429,Sound Recording,Retro Love - Monodeluxe,GBKPL1256429,5055489229737,,,Sat Jan 10 09:37:16 PST 2015,10,10
A237352185470733,GBKPL1256435,Sound Recording,Super Gravy Days - Monodeluxe,GBKPL1256435,5055489229737,,,Sat Jan 10 09:33:36 PST 2015,4,10
A175663013042815,,Sound Recording,Rainhall - In The Nursery,,,,,Tue Dec 16 07:47:14 PST 2014,70,5
A807051728627190,,Sound Recording,I Am a Real Machine (Instrumental Mix) - A Severe Joy,,,,,Mon Dec 15 08:29:18 PST 2014,3,2
A201775646020134,BPXTH7909581,Sound Recording,amcc_15562 - amcc,BPXTH7909581,BeatPick,,,Fri Dec 12 10:29:24 PST 2014,1,0
A230382384178115,,Sound Recording,Pangloss 2013 - Chauncey Canfield,,,,,Mon Jan 12 08:42:33 PST 2015,0,0
A944357814707856,BPXTH7910440,Sound Recording,crystalkovach_11912 - crystalkovach,BPXTH7910440,BeatPick,,,Fri Dec 12 12:01:51 PST 2014,46,100
A230667410625827,,Sound Recording,The End of Your Life (Instrumental) - Redsky,,,,,Mon Jan 12 07:14:32 PST 2015,0,0
A543113090072069,,Sound Recording,Bombed (instrumental) - In The Nursery,,,,,Tue Dec 16 07:46:04 PST 2014,17,60
A912500548335440,,Sound Recording,Anarchy Becomes Us (Instrumental) - Redsky,,,,,Mon Jan 12 07:19:51 PST 2015,0,0
A843642474096530,QM6MZ1491570,Sound Recording,Stupid Is - Carrie Akre,QM6MZ1491570,688610002265,,,Fri Jan 09 19:38:46 PST 2015,6,6
A938830966667702,,Sound Recording,Blue Lovers (instrumental) - In The Nursery,,,,,Tue Dec 16 07:17:22 PST 2014,3,1
A531198269657441,BPXTH7907522,Sound Recording,Audyssey_14387 - Audyssey,BPXTH7907522,BeatPick,,,Fri Dec 12 12:23:20 PST 2014,26,50
A454295296094253,BPXTH7912851,Sound Recording,myself_15493 - myself,BPXTH7912851,BeatPick,,,Fri Dec 12 11:16:25 PST 2014,6,1
A303630444886696,GBKPL1357886,Sound Recording,Aqua - Michael Neil,GBKPL1357886,5055489276229,,,Thu Jan 08 22:24:06 PST 2015,3,0
A363622669148582,,Sound Recording,Plan Your Attack (Instrumental) - Jacob Hungsberg,,,,,Mon Dec 15 07:24:04 PST 2014,1,1
A165844254304755,CMXTH7903906,Sound Recording,06.37_12 Hurt Lite.mp3 - CML,CMXTH7903906,Chicago Music Library,,,Sat Dec 20 15:57:31 PST 2014,1,1
A668139575116426,,Sound Recording,Feels Like I'm Walking (Instrumental) - Huma,,,,,Mon Jan 12 07:12:49 PST 2015,0,0
A826867273455394,BPXTH7910142,Sound Recording,brianmackey_13169 - brianmackey,BPXTH7910142,BeatPick,,,Fri Dec 12 13:06:06 PST 2014,8,2
A858547256400881,BPXTH7910137,Sound Recording,brianmackey_13164 - brianmackey,BPXTH7910137,BeatPick,,,Fri Dec 12 09:15:59 PST 2014,17,1
A636507615072173,BPXTH7909673,Sound Recording,anewascension_5622 - anewascension,BPXTH7909673,BeatPick,,,Fri Dec 12 10:28:39 PST 2014,15,10
A616546636014500,,Sound Recording,The Circle of Blood (Instrumental) - Redsky,,,,,Mon Jan 12 07:14:40 PST 2015,0,0
A237323347499709,BPXTH7910446,Sound Recording,crystalkovach_11918 - crystalkovach,BPXTH7910446,BeatPick,,,Fri Dec 12 12:02:53 PST 2014,10,20
A975093447450561,,Sound Recording,9 Writing - Orange Factory Music,,,,,Tue Dec 16 07:49:13 PST 2014,0,0
A648865704239363,GBKPL1357887,Sound Recording,Oceania - Michael Neil,GBKPL1357887,5055489276229,,,Thu Jan 08 22:24:54 PST 2015,6,2
A103234298445009,BPXTH7913854,Sound Recording,sharif_11733 - sharif,BPXTH7913854,BeatPick,,,Fri Dec 12 09:30:51 PST 2014,0,0
A761378854439417,MRXTH7916967,Sound Recording,Pravda 529918 Let s Do This - Pravda,MRXTH7916967,Audio Masters,,,Fri Dec 19 23:21:36 PST 2014,11,20
A827143006198224,MRXTH7917071,Sound Recording,Pravda 546814 Hooked On The Girl - Pravda,MRXTH7917071,Audio Masters,,,Sat Dec 20 01:14:18 PST 2014,1,0
A262101899427230,BPXTH7909592,Sound Recording,amcc_15573 - amcc,BPXTH7909592,BeatPick,,,Fri Dec 12 09:28:01 PST 2014,4,1
A338377356663373,BPXTH7910433,Sound Recording,crystalkovach_11263 - crystalkovach,BPXTH7910433,BeatPick,,,Fri Dec 12 11:22:13 PST 2014,378,40
A850185518974511,GBKPL1256431,Sound Recording,Everybody Jump - Monodeluxe,GBKPL1256431,5055489229737,,,Sat Jan 10 09:33:28 PST 2015,7,8
A313660964122873,USTC70870612,Sound Recording,Roam - David Ross Benson,USTC70870612,859701251781,,,Wed Dec 03 06:18:38 PST 2014,71,100
A605643036289574,BPXTH7911618,Sound Recording,izm_6134 - izm,BPXTH7911618,BeatPick,,,Fri Dec 12 13:43:31 PST 2014,1,0
A561867690269294,,Sound Recording,Qui Mal (instrumental) - In The Nursery,,,,,Tue Dec 16 07:48:38 PST 2014,2,1
A233125223434330,,Sound Recording,Don't Turn Around (Instrumental) - Huma,,,,,Mon Jan 12 07:21:50 PST 2015,0,0
A111189920665536,BPXTH7910445,Sound Recording,crystalkovach_11917 - crystalkovach,BPXTH7910445,BeatPick,,,Fri Dec 12 10:34:13 PST 2014,14,60
A971922175733630,,Sound Recording,I Can't Sleep In Silence (Instrumental) - Huma,,,,,Mon Jan 12 07:19:17 PST 2015,0,0
A402877910773654,USTC70870464,Sound Recording,Way Out West - David Ross Benson,USTC70870464,859701251781,,,Wed Dec 03 06:17:06 PST 2014,0,0
A877430551594373,GBKPL1357892,Sound Recording,Nordbahnof - Michael Neil,GBKPL1357892,5055489276229,,,Thu Jan 08 22:36:56 PST 2015,0,0
A416359702328434,QM6MZ1491566,Sound Recording,Courage - Carrie Akre,QM6MZ1491566,688610002265,,,Fri Jan 09 19:51:50 PST 2015,4,1
A708934516022071,RTXTH7710560,Sound Recording,Oye - Kenneth W. Lovell 354.07.72.66 (BMI) 100%,RTXTH7710560,Riptide Music,,,Wed Dec 03 13:53:35 PST 2014,2,1
A630653430596901,,Sound Recording,Chronicle (instrumental) - In The Nursery,,,,,Tue Dec 16 07:48:41 PST 2014,18,300
A223736679457027,,Sound Recording,Delayed Return (All In Version) - Chauncey Canfield,,,,,Mon Jan 12 07:18:07 PST 2015,0,0
A371459912790371,BPXTH7907521,Sound Recording,Audyssey_14386 - Audyssey,BPXTH7907521,BeatPick,,,Fri Dec 12 10:50:49 PST 2014,28,30
A337996535021835,,Sound Recording,Shonen No Hi (instrumental) - In The Nursery,,,,,Tue Dec 16 07:27:13 PST 2014,1,0
A468709104277164,BPXTH7910141,Sound Recording,brianmackey_13168 - brianmackey,BPXTH7910141,BeatPick,,,Fri Dec 12 10:10:01 PST 2014,29,30
A311693040394448,GBKPL1256433,Sound Recording,Versatile Changes - Monodeluxe,GBKPL1256433,5055489229737,,,Sat Jan 10 09:37:29 PST 2015,10,30
A123828601616130,,Sound Recording,Anatomy of a Poet (instrumental) - In The Nursery,,,,,Tue Dec 16 07:21:59 PST 2014,2,30
A375146090588180,BPXTH7912873,Sound Recording,negativesound_8774 - negativesound,BPXTH7912873,BeatPick,,,Fri Dec 12 12:11:49 PST 2014,194,1
A837342672493875,BPXTH7909665,Sound Recording,anewascension_11788 - anewascension,BPXTH7909665,BeatPick,,,Fri Dec 12 10:11:17 PST 2014,14,10
A667642776429626,US4R30610714,Sound Recording,Falling - Ally Jay,US4R30610714,825188012016,,,Mon Dec 15 09:13:54 PST 2014,5,1
A174580541343413,BPXTH7910145,Sound Recording,brianmackey_13172 - brianmackey,BPXTH7910145,BeatPick,,,Fri Dec 12 12:09:26 PST 2014,7,4
A532428766241918,BPXTH7910437,Sound Recording,crystalkovach_11267 - crystalkovach,BPXTH7910437,BeatPick,,,Fri Dec 12 12:34:21 PST 2014,2,0
A817516029987031,,Sound Recording,Proper Channels - Salim Nourallah,,,,,Tue Dec 23 07:48:42 PST 2014,0,0
A806467815937575,,Sound Recording,Ground Zero - Outhouse,,,,,Mon Dec 15 07:07:06 PST 2014,2,2
A162047446878113,QMPF21200003,Sound Recording,Testing the Waters - Amy Guess,QMPF21200003,741459675622,,,Mon Dec 15 08:43:31 PST 2014,7,4
A537232830234540,BPXTH7910439,Sound Recording,crystalkovach_11269 - crystalkovach,BPXTH7910439,BeatPick,,,Thu Dec 18 09:19:57 PST 2014,8,1
A338444604473318,BPXTH7910316,Sound Recording,colinodwyer_9445 - colinodwyer,BPXTH7910316,BeatPick,,,Fri Dec 12 12:23:30 PST 2014,28,10
A728640562447446,BPXTH7909394,Sound Recording,agfa_18273 - agfa,BPXTH7909394,BeatPick,,,Fri Dec 12 10:19:29 PST 2014,8,1
A622790882618664,,Sound Recording,Byzantium (instrumental) - In The Nursery,,,,,Tue Dec 16 07:18:47 PST 2014,6,4
A476563692265265,BPXTH7910136,Sound Recording,brianmackey_13163 - brianmackey,BPXTH7910136,BeatPick,,,Fri Dec 12 10:26:14 PST 2014,45,1
A625855880923043,BPXTH7909672,Sound Recording,anewascension_5621 - anewascension,BPXTH7909672,BeatPick,,,Fri Dec 12 12:37:19 PST 2014,11,3
A650761186399778,BPXTH7909408,Sound Recording,agfa_18287 - agfa,BPXTH7909408,BeatPick,,,Fri Dec 12 09:17:13 PST 2014,1,1
A905078047045944,QMPF21200010,Sound Recording,Be With You Again - Amy Guess,QMPF21200010,741459675622,,,Mon Dec 15 08:35:55 PST 2014,25,5
A936784897825306,BPXTH7912843,Sound Recording,myself_15485 - myself,BPXTH7912843,BeatPick,,,Fri Dec 12 10:13:28 PST 2014,7,500
A533011467048319,BPXTH7907524,Sound Recording,Audyssey_14389 - Audyssey,BPXTH7907524,BeatPick,,,Fri Dec 12 09:45:33 PST 2014,5,1
A839553682137791,,Sound Recording,Broken or Missing - The GoldRoom,,,,,Mon Dec 15 07:07:31 PST 2014,0,0
A677609754099586,,Sound Recording,Keith's Song - Chris Hanlin,,,,,Mon Dec 15 07:23:43 PST 2014,0,0
A305595233403065,GBKPL1357899,Sound Recording,Evening Star - Michael Neil,GBKPL1357899,5055489276229,,,Thu Jan 08 22:37:06 PST 2015,4,3
A447916451021179,GBKPL1357895,Sound Recording,Night and the City - Michael Neil,GBKPL1357895,5055489276229,,,Thu Jan 08 22:29:11 PST 2015,4,3
